상세시설ID,상세시설명
1,강당
2,체육관
3,1층 체육관(2층 관람석 제외)
4,2층 체육관
5,3층 체육관
6,별관 2층 다목적 강당
7,2층강당
8,강당동 1층 강당
9,교사동
10,본관동
11,강당(4층)
12,체육관(본관)
13,강당(2층)
14,다목적강당
15,회의실(2층)
16,다목적강당(지하1층)
17,정보센터
18,강당(5층)
19,헤오름관
20,정보화센터
21,3층 강당
22,"2층 회의실, 프로그램실"
23,"2층 회의실, 3층 다목적실"
24,강당(3층)
25,4층
26,2층 강당
27,3층 대회의실
28,2층 대회의실
29,"1층 강당, 4층 다목적실"
30,"1층 강의실, 2층 회의실"
31,1층
32,2층 회의실
33,해솔관(체육관)
34,다목적체육관
35,5층 다목적체육관
36,대덕문화체육관
37,5층 강당
38,교사동 2층 강당
39,교사동(A동) 1층
40,"강당, 특별활동실(2~3층)"
41,1본관 1~3층
42,교실 및 강당
43,산엔청복지관 분관 본관
44,다목적실
45,"급식실,다목적실"
46,교사동(3동)
47,경로당
48,체육관동 2층
49,산청고등학교 기숙사
50,산엔청복지관 3층 다목적강당
51,"농업기술센터 미래생명관 2, 3층"
52,지리산권 사회복지관 1층 숙박시설 및 2층 다
53,강당(체육관)
54,문예회관
55,본관 교실
56,시청각실
57,음악실
58,미술실
59,교사동(B동)1~3층
60,너른교실
61,실내체육관
62,별관교실
63,체육센터
64,꽃우물수영장
65,실내체육실
66,본관 3층체육관
67,다목적강당실
68,특별교실
69,급식식당
70,의성군 청소년센터
71,체력단련실
72,다목적 강당
73,강당(F동)
74,의성군 게이트볼장
75,다목적실(체육관)
76,체육관(교실)
77,본관교실
78,연수원
79,소강당
80,4층 강당
81,본관
82,3층 실내제육관
83,본관 4층 강당
84,필승관(체육관)
85,의성국민체육센터
86,민간숙박시설
87,의성군노인복지관
88,의성군 조문국박물관
89,대강당
90,객실
91,후관 2층 강당
92,1층 체육관(관람석 제외)
93,3층 다목적실
94,교육관(다목적홀)
95,1층 체육관
96,3층 체육관(다목적 강당)
97,"2, 3층"
98,3층 회의실
99,본관동 2층 강당
100,달성군노인복지관
101,주민건강증진센터
102,다목적교실동 3층 강당
103,강당동 2층 강당
104,강당3동 3층 강당
105,본관동 3층 강당
106,교사동 3층 강당
107,의회동
108,문화복지동
109,강당(별개 건물)
110,기숙사동 3-5층 생활시설
111,체육관동 2층 체육관
112,달성국민체육센터
113,달성종합스포츠파크
114,태아관동 1층 강당
115,달성군민체육관
116,용기관 2층 강당
117,6동 다목적강당
118,지능형자동차부품진흥원
119,기숙사동 4-5층 생활시설
120,한국자동차연구원
121,강당(본관5층)
122,강당(본관2층)
123,기숙사동 2-6층 생활시설
124,본관동 2층 체육관
125,다사읍사무소
126,달성문화센터
127,체육관(1층)
128,"강당(2층,5층)"
129,60호실
130,30호실
131,강당(본관4층)
132,강당(별관 2층)
133,강당(교내3층)
134,강당(별개의 건물)
135,산디관
136,체육관 2층
137,경암체육관
138,체육관(2층)
139,민락초등학교 강당
140,본관 3층 체육관
141,"3층 대회의실, 2층 소회의실"
142,"별관 다목적 체육관, 교사1,2동"
143,"지상 1층, 2층"
144,문수체육관
145,오곡면사무소2층
146,4층 대회의실
147,본관 2~3층 다목적 체육관
148,통합동 2층 체육관
149,별관 1층 다목적체육관
150,3층 대회의실 및 지하1층 다목적홀
151,대회의실 (3층)
152,"댄스연습실,GX룸(2층)"
153,행정동
154,달성군청소년센터
155,강당동 3층 강당
