시설일련번호,시설명,시설면적,경도,위도,상세주소,도로명주소,관리기관명,담당자,담당자연락처,상세시설명,최대수용인원수
362,화봉초등학교,704,129.36755882,35.59587211,울산광역시 북구 화봉동 1339-0,울산광역시 북구 화산로 42(화봉동),울산광역시 북구 복지환경국 복지정책과,우다은,010-7154-9337,강당,270
308,울산에너지고등학교,475,129.36916341,35.59007426,울산광역시 북구 화봉동 453,울산광역시 북구 화동2길 28(화봉동),울산광역시 북구 복지환경국 복지정책과,김제경,052-288-8256,체육관,182
307,화봉중학교,726,129.3607591,35.58900952,울산광역시 북구 화봉동 677-1,울산광역시 북구 통샘1길 2(화봉동),울산광역시 북구 복지환경국 복지정책과,김명례,010-2877-1978,체육관,279
306,송정초등학교,710,129.36580269,35.59117817,울산광역시 북구 화봉동 427,울산광역시 북구 상방로 75(화봉동),울산광역시 북구 복지환경국 복지정책과,서지성,052-288-4624,1층 체육관(2층 관람석 제외),273
360,무룡고등학교,638,129.36170851,35.5861866,울산광역시 북구 연암동 1153-0,울산광역시 북구 사청1길 30(연암동),울산광역시 북구 복지환경국 복지정책과,이순화,052-920-3305,2층 체육관,245
342,오토밸리복지센터,850,129.36041706,35.58409749,울산광역시 북구 연암동 1121-2,울산광역시 북구 산업로 1020(연암동),울산광역시 북구 복지환경국 복지정책과,임근택,052-255-5551,3층 체육관,326
344,연암중학교,627,129.3603539,35.58550005,울산광역시 북구 연암동 1128,울산광역시 북구 사청1길 12(연암동),울산광역시 북구 복지환경국 복지정책과,노헌경,052-289-6496,체육관,241
305,연암초등학교,665,129.36927456,35.58601345,울산광역시 북구 연암동 354,울산광역시 북구 두부곡4길 35(연암동),울산광역시 북구 복지환경국 복지정책과,김동훈,052-288-4246,별관 2층 다목적 강당,255
307,창원대산중학교,200,128.70980714,35.33418447,경상남도 창원시 의창구 대산면 제동리 280,경상남도 창원시 의창구 대산면 진산대로 380,경상남도 창원시 의창구 대산면,최갑열,055-291-4334,강당,76
429,우암초등학교,788,128.72996071,35.3340624,경상남도 창원시 의창구 대산면 우암리 345-3,경상남도 창원시 의창구 대산면 우암로 35,경상남도 창원시 의창구 대산면,박진우,055-251-4457,2층강당,303
414,창원초등학교,753,128.61908347,35.26580936,경상남도 창원시 의창구 서상동 513,경상남도 창원시 의창구 읍성로 5-1 (서상동),경상남도 창원시 의창구 의창동,한정화,055-297-6514,체육관,289
413,경상고등학교,765,128.59977873,35.26053552,경상남도 창원시 의창구 소계동 473,경상남도 창원시 의창구 금강로379번길 46(소계동),경상남도 창원시 의창구 의창동,박창민,055-710-2753,강당,294
